"","SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","DMDBORN4","DMDYRUSZ","DMDEDUC2","DMDMARTZ","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","WTINTPRP","WTMECPRP","SDMVPSU","SDMVSTRA","INDFMPIR"
"13259",122521,66,2,1,7,NA,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,7738.297887,8598.981085,2,151,2.44
"13260",122522,66,2,2,42,NA,2,2,2,1,NA,4,3,2,1,2,2,1,2,2,NA,NA,NA,NA,27681.180414,28771.598134,2,149,1.44
"13261",122523,66,2,1,2,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,12827.02253,14229.245957,2,163,1.89
"13262",122524,66,2,2,45,NA,3,3,1,1,NA,5,3,NA,1,2,2,NA,NA,NA,1,2,2,1,35254.839933,40678.367634,2,156,NA
"13263",122525,66,2,1,62,NA,5,6,1,2,2,5,1,NA,1,2,2,NA,NA,NA,1,2,2,1,5387.507655,5706.536501,2,154,NA
"13264",122526,66,2,1,23,NA,1,1,1,2,2,2,1,NA,1,2,2,1,2,2,1,2,2,1,23126.176968,25548.635106,2,161,2.72
"13265",122527,66,2,1,11,NA,1,1,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,20415.096109,21498.778591,1,172,0.81
"13266",122528,66,2,1,19,NA,4,4,2,2,1,NA,NA,NA,1,2,2,NA,NA,NA,1,2,2,1,5679.745109,5963.062731,1,149,NA
"13267",122529,66,2,1,13,NA,3,3,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,47178.623613,51370.519276,1,158,3.19
"13268",122530,66,2,1,0,10,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,16564.513705,17783.273071,1,166,4
